자치구별,주택종류별,시점,합계
서울시,계,2005 년,2242149
서울시,계,2010 년,2446508
서울시,계,2015 년,2793244
서울시,계,2016 년,2830857
서울시,계,2017 년,2866845
서울시,계,2018 년,2894078
서울시,계,2019 년,2953964
서울시,계,2020 년,3015371
서울시,계,2021 년,3068494
서울시,계,2022 년,3111323
서울시,단독주택,2005 년,443806
서울시,단독주택,2010 년,397103
서울시,단독주택,2015 년,355039
서울시,단독주택,2016 년,345269
서울시,단독주택,2017 년,331863
서울시,단독주택,2018 년,322453
서울시,단독주택,2019 년,315566
서울시,단독주택,2020 년,307075
서울시,단독주택,2021 년,299473
서울시,단독주택,2022 년,293489
서울시,아파트,2005 년,1217308
서울시,아파트,2010 년,1441769
서울시,아파트,2015 년,1636896
서울시,아파트,2016 년,1641383
서울시,아파트,2017 년,1665922
서울시,아파트,2018 년,1679639
서울시,아파트,2019 년,1720691
서울시,아파트,2020 년,1772670
서울시,아파트,2021 년,1818214
서울시,아파트,2022 년,1851242
서울시,연립주택,2005 년,140016
서울시,연립주택,2010 년,140451
서울시,연립주택,2015 년,117235
서울시,연립주택,2016 년,116106
서울시,연립주택,2017 년,114352
서울시,연립주택,2018 년,112372
서울시,연립주택,2019 년,110968
서울시,연립주택,2020 년,110562
서울시,연립주택,2021 년,110239
서울시,연립주택,2022 년,110418
서울시,다세대주택,2005 년,412187
서울시,다세대주택,2010 년,443778
서울시,다세대주택,2015 년,654372
서울시,다세대주택,2016 년,699446
서울시,다세대주택,2017 년,724932
서울시,다세대주택,2018 년,749971
서울시,다세대주택,2019 년,777205
서울시,다세대주택,2020 년,796066
서울시,다세대주택,2021 년,812403
서울시,다세대주택,2022 년,828773
서울시,비거주용 건물내 주택,2005 년,28832
서울시,비거주용 건물내 주택,2010 년,23407
서울시,비거주용 건물내 주택,2015 년,29702
서울시,비거주용 건물내 주택,2016 년,28653
서울시,비거주용 건물내 주택,2017 년,29776
서울시,비거주용 건물내 주택,2018 년,29643
서울시,비거주용 건물내 주택,2019 년,29534
서울시,비거주용 건물내 주택,2020 년,28998
서울시,비거주용 건물내 주택,2021 년,28165
서울시,비거주용 건물내 주택,2022 년,27401
종로구,계,2005 년,36748
종로구,계,2010 년,39727
종로구,계,2015 년,43550
종로구,계,2016 년,43554
종로구,계,2017 년,45787
종로구,계,2018 년,45729
종로구,계,2019 년,46440
종로구,계,2020 년,46859
종로구,계,2021 년,46885
종로구,계,2022 년,46810
종로구,단독주택,2005 년,14343
종로구,단독주택,2010 년,13784
종로구,단독주택,2015 년,13103
종로구,단독주택,2016 년,12991
종로구,단독주택,2017 년,12920
종로구,단독주택,2018 년,12699
종로구,단독주택,2019 년,12421
종로구,단독주택,2020 년,12259
종로구,단독주택,2021 년,11987
종로구,단독주택,2022 년,11823
종로구,아파트,2005 년,7669
종로구,아파트,2010 년,10667
종로구,아파트,2015 년,12552
종로구,아파트,2016 년,12462
종로구,아파트,2017 년,14507
종로구,아파트,2018 년,14530
종로구,아파트,2019 년,15290
종로구,아파트,2020 년,15688
종로구,아파트,2021 년,15775
종로구,아파트,2022 년,15923
종로구,연립주택,2005 년,4440
종로구,연립주택,2010 년,5330
종로구,연립주택,2015 년,5395
종로구,연립주택,2016 년,5410
종로구,연립주택,2017 년,5451
종로구,연립주택,2018 년,5428
종로구,연립주택,2019 년,5459
종로구,연립주택,2020 년,5460
종로구,연립주택,2021 년,5490
종로구,연립주택,2022 년,5532
종로구,다세대주택,2005 년,9357
종로구,다세대주택,2010 년,9238
종로구,다세대주택,2015 년,11664
종로구,다세대주택,2016 년,11872
종로구,다세대주택,2017 년,11978
종로구,다세대주택,2018 년,12140
종로구,다세대주택,2019 년,12349
종로구,다세대주택,2020 년,12540
종로구,다세대주택,2021 년,12725
종로구,다세대주택,2022 년,12651
종로구,비거주용 건물내 주택,2005 년,939
종로구,비거주용 건물내 주택,2010 년,708
종로구,비거주용 건물내 주택,2015 년,836
종로구,비거주용 건물내 주택,2016 년,819
종로구,비거주용 건물내 주택,2017 년,931
종로구,비거주용 건물내 주택,2018 년,932
종로구,비거주용 건물내 주택,2019 년,921
종로구,비거주용 건물내 주택,2020 년,912
종로구,비거주용 건물내 주택,2021 년,908
종로구,비거주용 건물내 주택,2022 년,881
중구,계,2005 년,30810
중구,계,2010 년,32520
중구,계,2015 년,37478
중구,계,2016 년,38311
중구,계,2017 년,39512
중구,계,2018 년,40177
중구,계,2019 년,41754
중구,계,2020 년,42234
중구,계,2021 년,42319
중구,계,2022 년,42401
중구,단독주택,2005 년,9103
중구,단독주택,2010 년,7624
중구,단독주택,2015 년,6436
중구,단독주택,2016 년,6364
중구,단독주택,2017 년,6308
중구,단독주택,2018 년,6209
중구,단독주택,2019 년,6035
중구,단독주택,2020 년,5967
중구,단독주택,2021 년,5865
중구,단독주택,2022 년,5751
중구,아파트,2005 년,13437
중구,아파트,2010 년,17141
중구,아파트,2015 년,22186
중구,아파트,2016 년,22923
중구,아파트,2017 년,23874
중구,아파트,2018 년,24417
중구,아파트,2019 년,25823
중구,아파트,2020 년,26102
중구,아파트,2021 년,26327
중구,아파트,2022 년,26366
중구,연립주택,2005 년,1895
중구,연립주택,2010 년,1804
중구,연립주택,2015 년,1975
중구,연립주택,2016 년,1955
중구,연립주택,2017 년,1948
중구,연립주택,2018 년,1944
중구,연립주택,2019 년,1940
중구,연립주택,2020 년,1944
중구,연립주택,2021 년,1896
중구,연립주택,2022 년,1879
중구,다세대주택,2005 년,5350
중구,다세대주택,2010 년,5210
중구,다세대주택,2015 년,6148
중구,다세대주택,2016 년,6333
중구,다세대주택,2017 년,6491
중구,다세대주택,2018 년,6719
중구,다세대주택,2019 년,7095
중구,다세대주택,2020 년,7352
중구,다세대주택,2021 년,7370
중구,다세대주택,2022 년,7572
중구,비거주용 건물내 주택,2005 년,1025
중구,비거주용 건물내 주택,2010 년,741
중구,비거주용 건물내 주택,2015 년,733
중구,비거주용 건물내 주택,2016 년,736
중구,비거주용 건물내 주택,2017 년,891
중구,비거주용 건물내 주택,2018 년,888
중구,비거주용 건물내 주택,2019 년,861
중구,비거주용 건물내 주택,2020 년,869
중구,비거주용 건물내 주택,2021 년,861
중구,비거주용 건물내 주택,2022 년,833
용산구,계,2005 년,49952
용산구,계,2010 년,60167
용산구,계,2015 년,70723
용산구,계,2016 년,70868
