아파트코드,아파트명,평형(공용),전용,방수,화장실수,드레스룸,다용도실,테라스,평면도 주소
A13876112,송파파인타운13단지,114,84,3,2,1,1,,https://landthumb-phinf.pstatic.net/20120207_59/hscp_img_1328597014451hBGM3_JPEG/GW10218_1328597013157.jpg?type=m562
A13821001,송파파인타운4단지,106,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20120125_131/land_system_1327418893123VuRH4_JPEG/117_100455_3_106D_GA1_1296097086974.jpg?type=m562
A13821002,송파파인타운11단지,109,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20110420_147/land_system_13033053660741EjOE_JPEG/117_25930_2_109A.jpg?type=m562
A13821003,송파파인타운5단지,109,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20110420_273/land_system_1303303825921HNDG3_JPEG/117_26472_3_109T1.jpg?type=m562
A13821004,송파파인타운7단지,114,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20110420_228/land_system_1303305642533Q9LyE_JPEG/117_26106_1_112A.jpg?type=m562
A13821004,송파파인타운7단지,115,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20110420_233/land_system_1303305646605c0nRm_JPEG/117_26106_3_115Td.jpg?type=m562
A13821005,송파파인타운10단지,82,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20110420_213/land_system_1303305340264tS4aX_JPEG/117_25929_3_82B.jpg?type=m562
A13821006,송파파인타운8단지,83,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20110420_119/land_system_1303303824835YmsAS_JPEG/117_26471_1_83T1.jpg?type=m562
A13821007,송파파인타운9단지,83,59,3,2,0,1,,https://landthumb-phinf.pstatic.net/20230307_146/land_naver_1678159949166gHHuS_JPEG/261072202303071232289287750307123229134000000.jpg?type=m562
A13821007,송파파인타운9단지,84,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20230307_118/land_naver_1678159969395nXNSN_JPEG/261071202303071232490681450307123249351000000.jpg?type=m562
A13821007,송파파인타운9단지,85,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20230307_29/land_naver_1678159982892pen0K_JPEG/261073202303071233026807120307123302849000000.jpg?type=m562
A13876108,송파파인타운6단지,105,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20110420_231/land_system_1303303301485HcMWR_JPEG/117_26481_4_105T2.jpg?type=m562
A13876109,송파파인타운2단지,113,84,3,2,0,0,,https://landthumb-phinf.pstatic.net/20110420_52/land_system_1303303206932WY7gd_JPEG/117_26479_1_112A2.jpg?type=m562
A13876110,송파파인타운3단지,104,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20110420_27/land_system_13033036981906Re2U_JPEG/117_26222_2_106T1.jpg?type=m562
A13876111,송파파인타운1단지,106,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20120125_270/land_system_1327418890558hRBdV_JPEG/117_100455_1_106A2_GA1_1296097072473.jpg?type=m562
A13876113,송파더센트레아파트,73,51,2,1,0,0,,https://landthumb-phinf.pstatic.net/20131218_208/hscp_img_1387334927700yhqdW_JPEG/photoinfra_1387334927408.jpg?type=m562
A13876113,송파더센트레아파트,85,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20131218_213/hscp_img_13873351822497IBse_JPEG/photoinfra_1387335182032.jpg?type=m562
A13876113,송파더센트레아파트,86,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20210608_95/land_naver_1623146829269Nedjj_JPEG/1041227202106081907091306320608190709230000000.jpg?type=m562
A13876113,송파더센트레아파트,87,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20131218_175/hscp_img_1387335161279zOmHA_JPEG/photoinfra_1387335161029.jpg?type=m562
